customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,income_category,loan_category,Interest_Rate_Category(%),age_group,employment_duration_bucket,cred_hist_bucket
7621.0,24,76800,RENT,0.0,EDUCATION,A,6400,7.51,4,NEW,3,NO DEFAULT,"$60,001 - $80,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7622.0,25,54000,MORTGAGE,9.0,VENTURE,A,8000,6.92,5,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,6 - 10,0 - 5
7623.0,25,54000,MORTGAGE,4.0,MEDICAL,A,8400,11.11,5,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7624.0,24,80000,RENT,6.0,MEDICAL,A,6400,7.49,4,NEW,4,NO DEFAULT,"$80,001+","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7625.0,21,54000,OWN,5.0,VENTURE,A,20000,10.74,7,NEW,2,NO DEFAULT,"$40,001 - $60,000","$20,001+",9.01 - 13,18 - 24,6 - 10,0 - 5
7626.0,25,54000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5100,9.62,5,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,25 - 34,6 - 10,0 - 5
7627.0,24,93500,RENT,2.0,VENTURE,B,6400,13.23,4,Y,3,NO DEFAULT,"$80,001+","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7628.0,22,110000,RENT,6.0,MEDICAL,A,6400,9.32,2,NEW,4,NO DEFAULT,"$80,001+","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7629.0,25,54000,MORTGAGE,1.0,EDUCATION,A,6000,6.17,5,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7630.0,25,110500,RENT,9.0,VENTURE,C,6400,13.67,5,NEW,3,NO DEFAULT,"$80,001+","$5,001 - $10,000",13.01 - 17,25 - 34,6 - 10,0 - 5
7631.0,24,112000,RENT,8.0,HOMEIMPROVEMENT,A,6400,6.62,4,NEW,2,NO DEFAULT,"$80,001+","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7632.0,22,54000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,13200,9.99,7,NEW,4,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7633.0,22,54000,MORTGAGE,5.0,EDUCATION,B,12000,12.23,7,Y,3,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7634.0,23,48000,MORTGAGE,8.0,MEDICAL,C,1400,14.83,3,Y,2,DEFAULT,"$40,001 - $60,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7635.0,24,77500,RENT,0.0,DEBTCONSOLIDATION,A,6800,10.99,4,NEW,3,NO DEFAULT,"$60,001 - $80,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7636.0,24,54000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,4000,9.99,4,NEW,4,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7637.0,26,54000,MORTGAGE,5.0,EDUCATION,A,10000,8.88,6,NEW,4,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",5 - 9,25 - 34,6 - 10,0 - 5
7638.0,24,74000,RENT,7.0,DEBTCONSOLIDATION,D,6800,20.3,4,Y,2,DEFAULT,"$60,001 - $80,000","$5,001 - $10,000",17.01 - 21,18 - 24,6 - 10,0 - 5
7639.0,26,48000,MORTGAGE,11.0,MEDICAL,A,5000,7.14,6,N,2,DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,11 - 15,0 - 5
7640.0,26,87360,RENT,1.0,EDUCATION,B,6800,12.99,6,NEW,3,NO DEFAULT,"$80,001+","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7641.0,23,54000,MORTGAGE,4.0,MEDICAL,A,2700,11.86,3,NEW,3,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7642.0,22,54000,MORTGAGE,1.0,MEDICAL,B,4000,13.98,2,NEW,4,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7643.0,23,124000,RENT,3.0,DEBTCONSOLIDATION,A,6800,6.03,3,NEW,2,NO DEFAULT,"$80,001+","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7644.0,24,24000,RENT,0.0,MEDICAL,A,6825,5.42,4,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7645.0,26,37000,RENT,0.0,VENTURE,A,6825,7.49,6,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7646.0,23,73000,RENT,0.0,DEBTCONSOLIDATION,A,6825,10.99,3,NEW,3,NO DEFAULT,"$60,001 - $80,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7648.0,22,47000,RENT,3.0,DEBTCONSOLIDATION,A,6850,10.65,2,N,4,DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7650.0,23,54000,MORTGAGE,0.0,EDUCATION,A,10000,11.49,3,NEW,4,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7651.0,22,60000,RENT,1.0,EDUCATION,A,6850,7.14,2,NEW,2,NO DEFAULT,"$60,001 - $80,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7652.0,25,80266,RENT,5.0,MEDICAL,A,6875,11.86,5,NEW,2,NO DEFAULT,"$80,001+","$5,001 - $10,000",9.01 - 13,25 - 34,6 - 10,0 - 5
7653.0,24,54000,MORTGAGE,9.0,MEDICAL,B,15600,13.61,7,Y,4,NO DEFAULT,"$40,001 - $60,000","$15,001 - $20,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7654.0,22,28000,RENT,5.0,DEBTCONSOLIDATION,A,6900,9.99,2,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7655.0,24,33000,RENT,2.0,HOMEIMPROVEMENT,D,6900,17.56,4,Y,3,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",17.01 - 21,18 - 24,0 - 5,0 - 5
7656.0,24,47480,RENT,8.0,MEDICAL,A,6900,9.88,4,NEW,2,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7657.0,25,58000,RENT,5.0,VENTURE,A,6900,7.66,5,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,6 - 10,0 - 5
7658.0,23,54000,OWN,7.0,VENTURE,A,6000,7.51,3,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7659.0,23,48000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,16800,14.59,7,N,2,DEFAULT,"$40,001 - $60,000","$15,001 - $20,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7660.0,26,54000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,10000,7.51,6,NEW,3,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",5 - 9,25 - 34,6 - 10,0 - 5
7662.0,23,54000,MORTGAGE,3.0,VENTURE,A,10000,9.88,3,NEW,2,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7663.0,21,25000,RENT,6.0,EDUCATION,A,6925,11.71,1,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7664.0,26,54000,MORTGAGE,5.0,PERSONAL,A,14000,7.88,7,NEW,3,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",5 - 9,25 - 34,6 - 10,0 - 5
7665.0,26,34000,RENT,10.0,DEBTCONSOLIDATION,C,6925,15.99,6,N,3,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,25 - 34,11 - 15,0 - 5
7666.0,22,78000,RENT,0.0,VENTURE,A,6925,9.62,2,NEW,4,NO DEFAULT,"$60,001 - $80,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7667.0,21,48000,MORTGAGE,1.0,EDUCATION,A,3500,10.25,1,N,3,DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7669.0,26,54000,MORTGAGE,9.0,PERSONAL,A,10800,7.88,7,NEW,3,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",5 - 9,25 - 34,6 - 10,0 - 5
7670.0,22,25000,RENT,2.0,PERSONAL,B,7000,13.85,2,Y,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7671.0,24,54000,OWN,8.0,EDUCATION,B,1200,13.11,4,Y,3,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7672.0,21,54000,MORTGAGE,5.0,VENTURE,A,13000,7.51,7,NEW,4,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",5 - 9,18 - 24,6 - 10,0 - 5
7673.0,22,25000,RENT,0.0,MEDICAL,B,7000,12.87,2,Y,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7674.0,25,26004,RENT,8.0,DEBTCONSOLIDATION,A,7000,6.92,5,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,6 - 10,0 - 5
7675.0,24,54000,OWN,8.0,PERSONAL,A,10000,10.99,4,NEW,3,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7676.0,22,54000,MORTGAGE,3.0,PERSONAL,A,9000,7.51,2,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7677.0,25,54000,OWN,5.0,HOMEIMPROVEMENT,A,8000,11.83,5,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,25 - 34,6 - 10,0 - 5
7678.0,24,54000,MORTGAGE,9.0,MEDICAL,A,8525,8.59,4,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7680.0,24,54000,MORTGAGE,2.0,VENTURE,A,8700,7.05,4,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7681.0,23,26400,RENT,0.0,MEDICAL,A,7000,7.4,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7682.0,23,27000,RENT,4.0,PERSONAL,B,7000,13.79,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7683.0,24,54000,MORTGAGE,5.0,MEDICAL,A,9000,11.14,4,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7684.0,21,27600,RENT,5.0,EDUCATION,A,7000,5.99,1,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7685.0,24,54000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,3000,7.05,4,NEW,2,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
7686.0,22,54000,MORTGAGE,6.0,PERSONAL,A,7000,8.94,2,NEW,2,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7687.0,24,27600,RENT,4.0,PERSONAL,C,7000,15.62,4,Y,4,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7688.0,22,48000,MORTGAGE,6.0,EDUCATION,C,12000,16.0,7,N,4,DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7690.0,26,54000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,9000,8.94,6,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,11 - 15,0 - 5
7691.0,25,27600,RENT,2.0,MEDICAL,A,7000,9.76,5,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7692.0,23,28000,RENT,4.0,EDUCATION,A,7000,10.62,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7694.0,23,28038,RENT,2.0,DEBTCONSOLIDATION,A,7000,7.88,3,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7695.0,23,54000,OWN,4.0,DEBTCONSOLIDATION,C,2800,14.42,3,NEW,3,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7696.0,25,28500,RENT,0.0,DEBTCONSOLIDATION,A,7000,10.0,5,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7697.0,26,28608,RENT,2.0,MEDICAL,A,7000,6.92,6,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7698.0,23,54000,MORTGAGE,7.0,MEDICAL,A,13500,9.63,7,NEW,2,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7699.0,23,28685,RENT,3.0,DEBTCONSOLIDATION,B,7000,12.73,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7700.0,26,28800,RENT,4.0,MEDICAL,A,7000,5.42,6,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7701.0,23,28800,RENT,4.0,MEDICAL,A,7000,7.49,3,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7702.0,23,30000,RENT,0.0,VENTURE,A,7000,12.69,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7703.0,22,30000,RENT,0.0,MEDICAL,A,7000,8.9,2,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7704.0,21,30000,RENT,2.0,PERSONAL,A,7000,10.99,1,N,2,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7705.0,21,54036,MORTGAGE,3.0,MEDICAL,A,8000,11.36,1,NEW,2,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7706.0,22,30000,RENT,4.0,DEBTCONSOLIDATION,C,7000,16.49,2,Y,3,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7707.0,26,54080,OWN,10.0,EDUCATION,A,5000,7.51,6,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,11 - 15,0 - 5
7708.0,24,54080,MORTGAGE,8.0,PERSONAL,A,8000,8.63,4,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7709.0,22,30000,RENT,6.0,MEDICAL,A,7000,9.62,2,N,4,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7710.0,25,30000,RENT,1.0,MEDICAL,A,7000,10.62,5,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7711.0,26,54200,MORTGAGE,3.0,HOMEIMPROVEMENT,A,7000,7.49,6,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7712.0,25,30000,RENT,4.0,MEDICAL,A,7000,7.74,5,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7713.0,22,30000,RENT,2.0,MEDICAL,E,7000,17.58,2,N,2,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",17.01 - 21,18 - 24,0 - 5,0 - 5
7714.0,22,54252,MORTGAGE,6.0,DEBTCONSOLIDATION,A,3500,6.39,2,NEW,2,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
7715.0,26,30000,RENT,2.0,MEDICAL,A,7000,10.71,6,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7718.0,24,30996,RENT,7.0,VENTURE,D,7000,16.63,4,Y,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7719.0,25,31000,RENT,9.0,EDUCATION,A,7000,7.51,5,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,6 - 10,0 - 5
7721.0,25,31200,RENT,2.0,EDUCATION,A,7000,7.88,5,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7722.0,22,31221,RENT,4.0,EDUCATION,A,7000,11.83,2,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7723.0,21,32000,RENT,3.0,VENTURE,A,7000,11.49,1,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7725.0,24,54400,MORTGAGE,8.0,HOMEIMPROVEMENT,A,3300,7.66,4,NEW,2,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
7726.0,24,48442,MORTGAGE,8.0,DEBTCONSOLIDATION,C,9800,15.7,4,N,2,DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",13.01 - 17,18 - 24,6 - 10,0 - 5
7727.0,25,54499,MORTGAGE,2.0,HOMEIMPROVEMENT,A,12000,9.63,7,NEW,4,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7728.0,22,54500,MORTGAGE,6.0,EDUCATION,A,7500,10.59,2,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7729.0,23,32000,RENT,0.0,HOMEIMPROVEMENT,B,7000,14.26,3,N,4,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7730.0,22,32340,RENT,6.0,DEBTCONSOLIDATION,A,7000,6.62,2,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7731.0,24,32400,RENT,1.0,MEDICAL,B,7000,13.98,4,Y,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7732.0,22,32769,RENT,3.0,VENTURE,A,7000,7.29,2,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7733.0,26,54528,MORTGAGE,9.0,HOMEIMPROVEMENT,A,10000,8.94,6,NEW,3,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",5 - 9,25 - 34,6 - 10,0 - 5
7734.0,22,54566,MORTGAGE,6.0,PERSONAL,A,4000,12.53,2,NEW,2,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7736.0,23,33000,RENT,0.0,EDUCATION,A,7000,6.62,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7737.0,23,33000,RENT,2.0,VENTURE,A,7000,7.9,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7738.0,23,33000,RENT,1.0,DEBTCONSOLIDATION,B,7000,13.61,3,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7739.0,22,48600,MORTGAGE,6.0,EDUCATION,A,12000,12.42,7,N,4,DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7743.0,24,33198,RENT,3.0,MEDICAL,B,7000,14.27,4,N,3,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7744.0,24,33600,RENT,0.0,PERSONAL,B,7000,13.61,4,Y,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7745.0,26,33996,RENT,10.0,VENTURE,A,7000,8.0,6,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,11 - 15,0 - 5
7746.0,24,33996,RENT,1.0,DEBTCONSOLIDATION,B,7000,13.16,4,N,3,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7747.0,23,34482,RENT,7.0,PERSONAL,A,7000,10.99,3,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7748.0,23,34800,RENT,0.0,MEDICAL,A,7000,11.99,3,N,2,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7749.0,20,34800,RENT,3.0,MEDICAL,B,7000,13.61,2,Y,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7751.0,24,35000,RENT,8.0,MEDICAL,A,7000,12.69,4,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7752.0,26,54828,MORTGAGE,10.0,EDUCATION,D,5000,16.82,6,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",13.01 - 17,25 - 34,11 - 15,0 - 5
7753.0,23,35000,RENT,5.0,DEBTCONSOLIDATION,A,7000,6.03,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7754.0,24,54870,OWN,3.0,VENTURE,A,1000,8.59,4,NEW,2,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
7755.0,25,54900,MORTGAGE,2.0,HOMEIMPROVEMENT,A,3000,10.99,5,NEW,2,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,25 - 34,0 - 5,0 - 5
7756.0,25,48902,MORTGAGE,9.0,PERSONAL,B,6000,15.23,5,Y,3,DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",13.01 - 17,25 - 34,6 - 10,0 - 5
7757.0,24,35000,RENT,9.0,PERSONAL,A,7000,5.99,4,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7758.0,26,35000,RENT,5.0,VENTURE,A,7000,10.99,6,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,25 - 34,6 - 10,0 - 5
7759.0,23,54960,MORTGAGE,7.0,EDUCATION,A,5500,6.03,3,NEW,3,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7760.0,23,35000,RENT,0.0,EDUCATION,A,7000,10.99,3,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7762.0,25,35000,RENT,2.0,PERSONAL,A,7000,8.94,5,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
7763.0,23,54996,MORTGAGE,7.0,EDUCATION,A,2100,11.49,3,NEW,3,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7764.0,21,35000,RENT,5.0,VENTURE,B,7000,11.34,1,Y,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7765.0,21,29000,RENT,5.0,MEDICAL,C,7000,12.61,1,Y,2,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7766.0,23,54996,MORTGAGE,2.0,MEDICAL,A,1925,10.59,3,NEW,4,NO DEFAULT,"$40,001 - $60,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7767.0,22,35350,RENT,3.0,DEBTCONSOLIDATION,A,7000,9.99,2,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7768.0,24,54996,MORTGAGE,8.0,VENTURE,A,5500,5.99,4,NEW,4,NO DEFAULT,"$40,001 - $60,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
7769.0,22,29654,RENT,3.0,EDUCATION,B,7000,14.22,2,N,3,DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
7770.0,24,36000,RENT,1.0,MEDICAL,A,7000,6.03,4,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7771.0,23,36000,RENT,1.0,EDUCATION,A,7000,7.9,3,NEW,4,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
7772.0,23,36000,RENT,5.0,VENTURE,A,7000,10.65,3,NEW,2,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,6 - 10,0 - 5
7773.0,23,36000,RENT,3.0,EDUCATION,A,7000,9.99,3,NEW,3,NO DEFAULT,"$20,001 - $40,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
7775.0,22,54996,MORTGAGE,3.0,EDUCATION,A,12000,9.63,7,NEW,2,NO DEFAULT,"$40,001 - $60,000","$10,001 - $15,000",9.01 - 13,18 - 24,0 - 5,0 - 5
